Occupation,Skills,English Level,Location Preference,Course Chosen
Architect,"['Construction Management', 'Building Design', '3D Modeling', 'AutoCAD']",Intermediate,Western Australia,Master of Architecture
Accountant,"['Budgeting', 'Taxation']",Fluent,Victoria,Bachelor of Accounting
Civil Engineer,"['Cost Estimation', 'AutoCAD', 'Structural Analysis']",Basic,New South Wales,Bachelor of Civil Engineering
Civil Engineer,"['AutoCAD', 'Structural Analysis', 'Cost Estimation']",Fluent,Regional Australia,Bachelor of Civil Engineering
Software Engineer,"['Machine Learning', 'AWS', 'Python', 'Java']",Fluent,Victoria,Master of Computer Science
Mechanical Engineer,"['Thermodynamics', 'SolidWorks', 'Mechanical Design', 'Fluid Dynamics']",Advanced,South Australia,Bachelor of Mechanical Engineering
Graphic Designer,"['Illustrator', 'InDesign']",Advanced,Victoria,Bachelor of Graphic Design
Electrical Engineer,"['Circuit Design', 'Embedded Systems']",Fluent,Northern Territory,Bachelor of Electrical Engineering
Architect,"['Building Design', 'Construction Management', 'AutoCAD', '3D Modeling']",Intermediate,Victoria,Master of Architecture
Graphic Designer,"['UI/UX Design', 'Adobe Photoshop', 'Illustrator']",Fluent,Western Australia,Bachelor of Graphic Design
Registered Nurse,"['Medication Administration', 'Patient Care', 'Clinical Assessment']",Fluent,South Australia,Bachelor of Nursing
Mechanical Engineer,"['Thermodynamics', 'Mechanical Design']",Advanced,Regional Australia,Bachelor of Mechanical Engineering
Data Analyst,"['SQL', 'Statistics', 'R', 'Data Visualization']",Basic,ACT,Graduate Diploma in Data Science
Registered Nurse,"['Clinical Assessment', 'Medication Administration', 'Patient Care']",Basic,Northern Territory,Bachelor of Nursing
Project Manager,"['Project Planning', 'Scrum']",Intermediate,New South Wales,Master of Project Management
Data Analyst,"['Data Visualization', 'Statistics', 'Python', 'R']",Fluent,Northern Territory,Graduate Diploma in Data Science
Graphic Designer,"['UI/UX Design', 'InDesign', 'Illustrator', 'Adobe Photoshop']",Basic,Victoria,Bachelor of Graphic Design
Architect,"['AutoCAD', 'Building Design']",Basic,South Australia,Master of Architecture
Graphic Designer,"['Adobe Photoshop', 'InDesign', 'Illustrator']",Intermediate,Tasmania,Bachelor of Graphic Design
ICT Business Analyst,"['SQL', 'Business Process Modeling']",Intermediate,ACT,Master of Business Analytics
Project Manager,"['Scrum', 'Risk Management', 'Team Management']",Advanced,Tasmania,Master of Project Management
Project Manager,"['Risk Management', 'Scrum']",Fluent,New South Wales,Master of Project Management
Registered Nurse,"['Clinical Assessment', 'Patient Care']",Advanced,Regional Australia,Bachelor of Nursing
Network Administrator,"['Network Security', 'Cloud Computing', 'Cisco Routers', 'Troubleshooting']",Intermediate,Regional Australia,Graduate Diploma in Network Security
